algorithm,total,TPs,MSE,underspecialized,overspecialized,same_parent,NHR,precision,recall,F1
baseline,200000,156827,0.0804121341489,417,269,1398,0.794555,0.784135,0.8454565352858664,0.8136420028471569
distknn,200000,156612,0.0801896691041,415,261,1345,0.793165,0.78306,0.8434140018110754,0.8121172149358402
linproj,200000,83131,0.126607883658,10,839,199,0.420895,0.415655,0.3239706031771372,0.3641301774442291
pwlinproj,200000,95635,0.11319818444,17,571,184,0.482035,0.478175,0.3769783448951887,0.4215889960469032
